Event           Amount          Date            Balance         
      
BuyStock        $86.10          12/18/2023      $9913.90        
BuyStock        $1.50           12/18/2023      $9912.40        
BuyStock        $237.30         12/18/2023      $9675.10        
BuyStock        $96.10          12/18/2023      $9579.00        
BuyStock        $192.40         12/18/2023      $9386.60        
SellStock       $76.88          12/18/2023      $9463.48        
Deposit         $20.00          12/18/2023      $9483.48        
Deposit         $100.00         12/18/2023      $9583.48        
Withdraw        $456.00         12/18/2023      $9127.48        
Withdraw        $690.00         12/18/2023      $8437.48        
BuyStock        $307.60         12/18/2023      $8129.88        
SellStock       $163.80         12/18/2023      $8293.68        
Deposit         $456.00         12/18/2023      $8749.68        
Withdraw        $90.00          12/18/2023      $8659.68        
